SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
1;0;3170;LVQDYOQYKFDBXNQDQUHYDJAEEBZQMTBLCABWGMS;-78;97
1;240;3171;;-78;97
2;0;3298;CRNOIAFTLFPCUQFFAXOZQEGXMWGGLKHVXTDHNZQ;-75;108
2;240;3299;;-75;108
3;0;3423;ANKYPRBWTEAZDAFEQXTIJJTKWEAZQGMPLOHYXRU;-76;107
3;240;3423;;-76;107
4;0;3553;TOJVBZLLQGJAIDBTQIBYGDZCXKUJVWGHWBMJJMB;-81;105
4;240;3554;;-81;105
5;0;3679;PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-80;107
5;240;3680;;-80;107
6;0;3807;MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-84;106
6;240;3808;;-84;106
7;0;3937;FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-78;106
7;240;3938;;-78;106
8;0;4063;ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-73;107
8;240;4063;;-73;107
9;0;4194;OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-75;107
9;240;4195;;-75;107
10;0;4323;GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-74;108
10;240;4324;;-74;108
11;0;4449;UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-74;108
11;240;4450;;-74;108
12;0;4575;IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-77;107
12;240;4575;;-77;107
13;0;4708;QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-91;108
13;240;4709;;-91;108
14;0;4834;KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-76;106
14;240;4835;;-76;106
15;0;4963;DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-74;107
15;240;4964;;-74;107
16;0;5091;XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-69;108
16;240;5092;;-69;108
17;0;5219;NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-67;108
17;240;5220;;-67;108
18;0;5345;OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-72;107
18;240;5346;;-72;107
19;0;5476;BZTFTRNNSWEEXMBCGBDCBRDAOXEYLIHBLMOFIYF;-78;107
19;240;5477;;-78;107
20;0;5602;YKGLGQJYYLKSASXEZTVVJJZITPWLKPVRQFYLSGE;-78;107
20;240;5603;;-78;107
21;0;5728;UOBSPBCUPQVRLPHQBMBCNPWWCOFCCTFYMLVHDXF;-72;107
21;240;5729;;-72;107
22;0;5858;YTFNZFFBHATYZMKJDCKALELCODKJEYSJAJRAANT;-68;107
22;240;5859;;-68;107
23;0;5983;VDOPUKRLFZJZIITIMFHIEFGMRYWTHZZDWHQUXUA;-72;108
23;240;5984;;-72;108
24;0;6114;QKDCBXEEYPNZHAUWQXPQGFTCJQGYFJVHWXGJPEV;-89;107
24;240;6115;;-89;107
