SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
5;0;2297;PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-70;107
5;240;2306;;-69;107
6;0;2425;MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-69;107
6;240;2430;;-69;106
7;0;2553;FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-69;106
7;240;2560;;-69;107
8;0;2681;ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-69;107
8;240;2689;;-71;108
9;0;2809;OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-71;108
9;240;2816;;-77;107
10;0;2937;GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-77;107
10;240;2943;;-72;107
11;0;3065;UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-72;107
11;240;3077;;-76;107
12;0;3193;IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-76;107
12;240;3198;;-72;106
13;0;3321;QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-72;106
13;240;3333;;-66;107
14;0;3449;KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-66;107
14;240;3461;;-67;107
15;0;3577;DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-67;107
15;240;3588;;-70;107
16;0;3705;XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-70;107
16;240;3712;;-68;108
17;0;3833;NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-68;108
17;240;3844;;-79;106
18;0;3961;OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-79;106
18;240;3973;;-66;107
19;0;4089;BZTFTRNNSWEEXMBCGBDCBRDAOXEYLIHBLMOFIYF;-66;107
19;240;4099;;-72;107
20;0;4217;YKGLGQJYYLKSASXEZTVVJJZITPWLKPVRQFYLSGE;-72;107
20;240;4227;;-69;106
21;0;4345;UOBSPBCUPQVRLPHQBMBCNPWWCOFCCTFYMLVHDXF;-69;106
21;240;4354;;-70;107
22;0;4473;YTFNZFFBHATYZMKJDCKALELCODKJEYSJAJRAANT;-70;107
22;240;4478;;-64;107
23;0;4601;VDOPUKRLFZJZIITIMFHIEFGMRYWTHZZDWHQUXUA;-64;107
23;240;4613;;-66;108
24;0;4729;QKDCBXEEYPNZHAUWQXPQGFTCJQGYFJVHWXGJPEV;-66;108
24;240;4739;;-68;106
25;0;4857;UFUYIPHVJWEUWMWXXEAJLSALOKHFIDMNMKLYOLT;-68;106
25;240;4863;;-69;107
26;0;4985;VDPJZBKQEXISGXJTDNUNDTGADIVFKLKBLMVZDQY;-69;107
26;240;4995;;-67;107
27;0;5113;VAWWJETYXZHQQELZOSDEKSXPJGAMABUCMHRQOOB;-67;107
27;240;5121;;-67;107
28;0;5241;MWAZEIQPLRSIEHVGAUVMUKDZIIYBPIVYTLLNIPX;-67;107
28;240;5247;;-65;108
29;0;5369;GXJBHOSQVQPXPISUDERNERDVFAXFXQQDLLVRVNP;-65;108
29;240;5373;;-68;107
30;0;5497;QUCYLDXDBQGNEHAJIHHVYLLYFQLSPDUJTGDJFSU;-68;107
30;240;5502;;-68;107
31;0;5625;BDHBVECDWFNBAGKYHMOBFXOATHOFHJCQYAMJHDY;-68;107
31;240;5631;;-90;106
32;0;5753;DDVIGRKYAPGCWSJDFEKXSTSWJTFMNGLIGXGAMAI;-90;106
32;240;5759;;-72;107
33;0;5881;GRVHLZUDDKGWNIVBSYPLXPONGTPKXJKKWTXSDMM;-72;107
33;240;5889;;-68;107
34;0;6009;EEJRKLCGGCJWEBAFCTGJJTWCYSSDBMMOGQMCCIL;-68;107
34;240;6018;;-69;108
35;0;6137;BHFSFJKOOMHTLBJPZLKBOYOLBWGNDRQAVDSLTXL;-69;108
35;240;6147;;-64;107
36;0;6265;EGKEMKTDJSSLTPZWMDJPRKYKNQSLFYIFEAZRSQK;-64;107
36;240;6273;;-69;107
37;0;6393;MBIAZWSBUBSFBUWBUTEKIKGNHXTWCWDQIQMAQNC;-69;107
37;240;6398;;-65;107
38;0;6521;WEPBXJWTYCFRSRGMJEDTIDYHWPALOCYXBTIMEUG;-65;107
38;240;6525;;-64;107
39;0;6649;JFGJOXIXQUFRHXGQHSNRZPFQOVZRWNEWKGWSKNP;-65;108
39;240;6658;;-68;107
40;0;6777;SPMINAMWQHMGXILZCLMFFTORMCKXMYVJLTJGJMM;-68;107
40;240;6785;;-64;107
41;0;6905;DGXRNVAPXPKRFJYWGHXUVLTIHREGSZULHYMOAMT;-64;107
41;240;6910;;-75;107
42;0;7033;VDTVIYXDYEDIHNVVRQJVCFKOIQOGONXHRVVYVQX;-75;107
42;240;7039;;-72;107
43;0;7161;VUIUATMZCIEQDFSYCBLIPITOJLRNPNVMJHRHGPA;-72;107
43;240;7169;;-70;108
